de	en	plural	category
die Uhr	clock / watch	die Uhren	Objects
das Auto	car	die Autos	Objects
das Handy	mobile phone	die Handys	Objects
zeichnen	to draw		Verbs
ein / eine	a / an		Grammar
das Buch	book	die Bücher	Objects
der Bleistift	pencil	die Bleistifte	Objects
die Brille	glasses	die Brillen	Objects
die Flasche	bottle	die Flaschen	Objects
die Kamera	camera	die Kameras	Objects
die Kette	necklace	die Ketten	Objects
der Kugelschreiber	ballpoint pen	die Kugelschreiber	Objects
der Schlüssel	key	die Schlüssel	Objects
die Tasche	bag	die Taschen	Objects
das Material	material	die Materialien	Materials
das Holz	wood		Materials
das Papier	paper		Materials
das Metall	metal		Materials
das Plastik	plastic		Materials
das Glas	glass (material)		Materials
die Farbe	colour / color	die Farben	Colours
weiß	white		Colours
gelb	yellow		Colours
orange	orange		Colours
rot	red		Colours
grün	green		Colours
blau	blue		Colours
braun	brown		Colours
schwarz	black		Colours
sehen	to see		Verbs
etwas	something		Expressions
viele	many		Expressions
das Ding	thing	die Dinge	Objects
und so weiter	and so on		Expressions
sagen	to say		Verbs
fragen	to ask		Verbs
antworten	to answer		Verbs
weiterfragen	to keep asking		Verbs
aha	aha / I see		Expressions
das Feuerzeug	lighter	die Feuerzeuge	Objects
der Geldbeutel	wallet	die Geldbeutel	Objects
das Taschentuch	tissue	die Taschentücher	Objects
der Regenschirm	umbrella	die Regenschirme	Objects
der Regen	rain		Objects
auf Deutsch	in German		Classroom
das Wort	word	die Wörter	Classroom
nennen	to name		Verbs
bitten	to ask for / request		Verbs
bitte	please		Expressions
Noch einmal, bitte.	Once again, please.		Classroom
Wie schreibt man …?	How do you spell …?		Classroom
schreiben	to write / spell		Verbs
man	one / you (people in general)		Grammar
sich bedanken	to thank / say thank you		Verbs
danke schön	thank you		Expressions
das Problem	problem	die Probleme	Expressions
Bitte schön.	You are welcome.		Expressions
Kein Problem.	No problem.		Expressions
die Wiederholung	repetition	die Wiederholungen	Classroom
reagieren auf	to react to		Verbs
das Wörterbuch	dictionary	die Wörterbücher	Classroom
das Online-Wörterbuch	online dictionary	die Online-Wörterbücher	Classroom
die Jacke	jacket	die Jacken	Objects
das Streichholz	match	die Streichhölzer	Objects
die Bürste	brush	die Bürsten	Objects
die Seife	soap	die Seifen	Objects
das Handtuch	towel	die Handtücher	Objects
der Föhn	hairdryer	die Föhne	Objects
Ich weiß nicht.	I do not know.		Classroom
die Klasse	class	die Klassen	Classroom
online	online		Shopping
bestellen	to order		Verbs
die Ware	goods / merchandise	die Waren	Shopping
der Warenkorb	shopping cart	die Warenkörbe	Shopping
die Sonne	sun		Objects
die Sonnenbrille	sunglasses	die Sonnenbrillen	Objects
dunkel-	dark		Colours
hell-	light		Colours
die Nummer	number	die Nummern	Forms
der Kunststoff	plastic / synthetic material		Materials
das Produkt	product	die Produkte	Shopping
der Produktname	product name	die Produktnamen	Forms
die Menge	amount / quantity	die Mengen	Forms
das Formular	form	die Formulare	Forms
die Anrede	form of address	die Anreden	Forms
die E-Mail	email	die E-Mails	Forms
das Telefon	telephone	die Telefone	Objects
das Haus	house	die Häuser	Objects
die Adresse	address	die Adressen	Forms
der Unterstrich	underscore	die Unterstriche	Forms
ät	at sign (@)		Forms
die Straße	street	die Straßen	Forms
die Postleitzahl	postcode / ZIP code	die Postleitzahlen	Forms
die E-Mail-Adresse	email address	die E-Mail-Adressen	Forms
die Hausnummer	house number	die Hausnummern	Forms
der Ort	place / town	die Orte	Forms
die Telefonnummer	telephone number	die Telefonnummern	Forms
