"card","meaning","german","plural","pdfEntries","teacherRows","url","aliases"
"W001","how","wie","","W001","","https://hrezaii95.github.io/german-learning-exam/vocabulary/w001/",""
"W002","who","wer","","W002","","https://hrezaii95.github.io/german-learning-exam/vocabulary/w002/",""
"W003","where from","woher","","W003","","https://hrezaii95.github.io/german-learning-exam/vocabulary/w003/",""
"W004","I","ich","","W004","","https://hrezaii95.github.io/german-learning-exam/vocabulary/w004/","/vocabulary/id-6c65783a696368"
"W005","you (one person, informal)","du","","W005","","https://hrezaii95.github.io/german-learning-exam/vocabulary/w005/","/vocabulary/id-6c65783a6475"
"W006","he","er","","W006","","https://hrezaii95.github.io/german-learning-exam/vocabulary/w006/","/vocabulary/id-6c65783a6572"
"W007","she / they","sie","","W007","","https://hrezaii95.github.io/german-learning-exam/vocabulary/w007/","/vocabulary/id-6c65783a736965"
"W008","you (formal, singular or plural)","Sie","","W008","","https://hrezaii95.github.io/german-learning-exam/vocabulary/w008/","/vocabulary/id-6c65783a7369652d666f726d616c"
"W009","to you / for you (informal)","dir / Und dir?","","W009","","https://hrezaii95.github.io/german-learning-exam/vocabulary/w009/","/vocabulary/id-6c65783a756e642d646972"
"W010","this / that","das","","W010","","https://hrezaii95.github.io/german-learning-exam/vocabulary/w010/",""
"W011","my","mein / meine","","W011","","https://hrezaii95.github.io/german-learning-exam/vocabulary/w011/",""
"W012","to be called / have the name","heißen","","W012","","https://hrezaii95.github.io/german-learning-exam/vocabulary/w012/",""
"W013","to be","sein","","W013","","https://hrezaii95.github.io/german-learning-exam/vocabulary/w013/",""
"W014","to come","kommen","","W014","","https://hrezaii95.github.io/german-learning-exam/vocabulary/w014/",""
"W015","to learn","lernen","","W015","","https://hrezaii95.github.io/german-learning-exam/vocabulary/w015/",""
"W016","alphabet","das Alphabet","die Alphabete","W016","","https://hrezaii95.github.io/german-learning-exam/vocabulary/w016/",""
"W017","name","der Name","die Namen","W017","","https://hrezaii95.github.io/german-learning-exam/vocabulary/w017/","/vocabulary/id-6c65783a6e616d65"
"W018","first name","der Vorname","die Vornamen","W018","","https://hrezaii95.github.io/german-learning-exam/vocabulary/w018/","/vocabulary/id-6c65783a766f726e616d65"
"W019","surname / family name","der Familienname","die Familiennamen","W019","","https://hrezaii95.github.io/german-learning-exam/vocabulary/w019/","/vocabulary/id-6c65783a66616d696c69656e6e616d65"
"W020","music","die Musik","","W020","","https://hrezaii95.github.io/german-learning-exam/vocabulary/w020/",""
"W021","country","das Land","die Länder","W021","","https://hrezaii95.github.io/german-learning-exam/vocabulary/w021/",""
"W022","information / piece of information","die Information","die Informationen","W022","","https://hrezaii95.github.io/german-learning-exam/vocabulary/w022/",""
"W023","Mr / gentleman","der Herr","die Herren","W023","","https://hrezaii95.github.io/german-learning-exam/vocabulary/w023/","/vocabulary/id-6c65783a68657272"
"W024","Ms / Mrs; woman / wife","die Frau","die Frauen","W024","","https://hrezaii95.github.io/german-learning-exam/vocabulary/w024/","/vocabulary/id-6c65783a66726175"
"W025","conversation","das Gespräch","die Gespräche","W025","","https://hrezaii95.github.io/german-learning-exam/vocabulary/w025/",""
"W026","Hello!","Hallo!","","W026","","https://hrezaii95.github.io/german-learning-exam/vocabulary/w026/","/vocabulary/id-6c65783a68616c6c6f"
"W027","Bye!","Tschüs!","","W027","","https://hrezaii95.github.io/german-learning-exam/vocabulary/w027/","/vocabulary/id-6c65783a74736368756573"
"W028","Thank you!","Danke!","","W028","","https://hrezaii95.github.io/german-learning-exam/vocabulary/w028/","/vocabulary/id-6c65783a64616e6b65"
"W029","Excuse me! / Sorry!","Entschuldigung!","","W029","","https://hrezaii95.github.io/german-learning-exam/vocabulary/w029/","/vocabulary/id-6c65783a656e74736368756c646967756e67"
"W030","Hello! / Good day!","Guten Tag!","","W030","","https://hrezaii95.github.io/german-learning-exam/vocabulary/w030/","/vocabulary/id-6c65783a677574656e2d746167"
"W031","Good morning!","Guten Morgen!","","W031","","https://hrezaii95.github.io/german-learning-exam/vocabulary/w031/","/vocabulary/id-6c65783a677574656e2d6d6f7267656e"
"W032","Good evening!","Guten Abend!","","W032","","https://hrezaii95.github.io/german-learning-exam/vocabulary/w032/","/vocabulary/id-6c65783a677574656e2d6162656e64"
"W033","Good night!","Gute Nacht!","","W033","","https://hrezaii95.github.io/german-learning-exam/vocabulary/w033/","/vocabulary/id-6c65783a677574652d6e61636874"
"W034","Goodbye!","Auf Wiedersehen!","","W034","","https://hrezaii95.github.io/german-learning-exam/vocabulary/w034/","/vocabulary/id-6c65783a6175662d776965646572736568656e"
"W035","and","und","","W035","","https://hrezaii95.github.io/german-learning-exam/vocabulary/w035/",""
"W036","from","aus","","W036","","https://hrezaii95.github.io/german-learning-exam/vocabulary/w036/",""
"W037","also / too","auch","","W037","","https://hrezaii95.github.io/german-learning-exam/vocabulary/w037/",""
"W038","not","nicht","","W038","","https://hrezaii95.github.io/german-learning-exam/vocabulary/w038/",""
"W039","very","sehr","","W039","","https://hrezaii95.github.io/german-learning-exam/vocabulary/w039/",""
"W040","so / that","so","","W040","","https://hrezaii95.github.io/german-learning-exam/vocabulary/w040/",""
"W041","good / well","gut / Gut, danke. / Nicht so gut. / Sehr gut, danke.","","W041","","https://hrezaii95.github.io/german-learning-exam/vocabulary/w041/","/vocabulary/id-6c65783a6775742d64616e6b65, /vocabulary/id-6c65783a6e696368742d736f2d677574, /vocabulary/id-6c65783a736568722d6775742d64616e6b65"
"W042","great / excellent","super / Auch super.","","W042","","https://hrezaii95.github.io/german-learning-exam/vocabulary/w042/","/vocabulary/id-6c65783a7375706572, /vocabulary/id-6c65783a617563682d7375706572"
"W043","it","es","","W043","","https://hrezaii95.github.io/german-learning-exam/vocabulary/w043/",""
"W044","please / pardon","bitte / Wie bitte?","","W044","","https://hrezaii95.github.io/german-learning-exam/vocabulary/w044/","/vocabulary/id-6c65783a7769652d6269747465"
"W045","to you / for you (formal)","Ihnen","","W045","","https://hrezaii95.github.io/german-learning-exam/vocabulary/w045/",""
"W046","day","der Tag","die Tage","W046","","https://hrezaii95.github.io/german-learning-exam/vocabulary/w046/",""
"W047","morning","der Morgen","die Morgen","W047","","https://hrezaii95.github.io/german-learning-exam/vocabulary/w047/",""
"W048","evening","der Abend","die Abende","W048","","https://hrezaii95.github.io/german-learning-exam/vocabulary/w048/",""
"W049","night","die Nacht","die Nächte","W049","","https://hrezaii95.github.io/german-learning-exam/vocabulary/w049/",""
