de	en	plural	category	example	translation
gestern	yesterday		Time	Was hast du gestern gemacht?	What did you do yesterday?
der Spaziergang	walk / stroll	die Spaziergänge	Hobbies	Ich habe einen Spaziergang gemacht.	I went for a walk.
der Wald	forest	die Wälder	Places	Ich habe einen Spaziergang im Wald gemacht.	I went for a walk in the forest.
die Zeitung	newspaper	die Zeitungen	Objects	Ich habe Zeitung gelesen.	I read the newspaper.
aufräumen	to tidy up		Verbs	Ich habe den Schreibtisch aufgeräumt.	I tidied the desk.
zu wenig	too little		Grammar	Ich habe zu wenig gegessen.	I ate too little.
zu viel	too much		Grammar	Ich habe zu viel Kaffee getrunken.	I drank too much coffee.
der Vogel	bird	die Vögel	Everyday	Ich habe einen Vogel gehört.	I heard a bird.
der Film	film	die Filme	Hobbies	Wir haben einen Film geschaut.	We watched a film.
die Pause	break	die Pausen	Everyday	Ich habe eine Pause gemacht.	I took a break.
der Doktor	doctor / holder of a doctorate	die Doktoren	People	Er ist Doktor.	He holds a doctorate.
die Doktorarbeit	doctoral dissertation	die Doktorarbeiten	Classroom	Ich habe an meiner Doktorarbeit geschrieben.	I worked on my doctoral dissertation.
abwaschen	to wash the dishes		Verbs	Ich habe gekocht und abgewaschen.	I cooked and washed the dishes.
schlafen	to sleep		Verbs	Hast du lange geschlafen?	Did you sleep for a long time?
die Hausaufgabe	homework task	die Hausaufgaben	Classroom	Ich habe meine Hausaufgaben gemacht.	I did my homework.
die Serie	series	die Serien	Hobbies	Wir haben eine Serie geschaut.	We watched a series.
Hallo Schatz!	Hello, darling!		Conversation	Hallo Schatz! Wie geht es dir?	Hello, darling! How are you?
von … bis	from … to / until		Time	Wir haben von eins bis drei gespielt.	We played from one until three.
der Basketball	basketball		Hobbies	Ich spiele Basketball.	I play basketball.
danach	afterwards		Time	Danach habe ich ein Eis gegessen.	Afterwards I ate an ice cream.
der Einkaufsbummel	shopping trip	die Einkaufsbummel	Shopping	Wir haben einen Einkaufsbummel gemacht.	We went on a shopping trip.
kaufen	to buy		Verbs	Ich habe ein T-Shirt gekauft.	I bought a T-shirt.
das T-Shirt	T-shirt	die T-Shirts	Objects	Das T-Shirt ist schön.	The T-shirt is nice.
ab	from … onward		Time	Die Praxis ist ab acht Uhr geöffnet.	The practice is open from eight onward.
ganz	whole / all		Grammar	Wir haben die ganze Nacht Fußball geschaut.	We watched football all night.
zurückkommen	to come back		Verbs	Wann kommst du morgen zurück?	When are you coming back tomorrow?
der Kuss	kiss	die Küsse	Everyday	Viele Küsse von Mark!	Lots of kisses from Mark!
geöffnet	open		Adjectives	Wann ist die Praxis geöffnet?	When is the practice open?
das Schild	sign	die Schilder	Objects	Lesen Sie das Schild.	Read the sign.
der Kinderarzt	male pediatrician	die Kinderärzte	People	Der Kinderarzt hat heute geöffnet.	The pediatrician is open today.
die Kinderärztin	female pediatrician	die Kinderärztinnen	People	Die Kinderärztin hat heute geöffnet.	The pediatrician is open today.
die Boutique	boutique	die Boutiquen	Places	Die Boutique ist ab September geöffnet.	The boutique is open from September onward.
die Mode	fashion	die Moden	Everyday	Ich interessiere mich für Mode.	I am interested in fashion.
der Urlaub	holiday / vacation	die Urlaube	Time	Wir haben im August Urlaub.	We are on holiday in August.
der Unterricht	teaching / class		Classroom	Der Unterricht beginnt um acht Uhr.	Class starts at eight.
der Kursleiter	male course instructor	die Kursleiter	People	Der Kursleiter fragt.	The course instructor asks.
die Kursleiterin	female course instructor	die Kursleiterinnen	People	Die Kursleiterin fragt.	The course instructor asks.
der Kurs	course	die Kurse	Classroom	Der Kurs beginnt ab September.	The course starts from September.
die Blume	flower	die Blumen	Everyday	Ich habe Blumen fotografiert.	I photographed flowers.
der Laden	shop	die Läden	Places	Der Laden ist geschlossen.	The shop is closed.
geschlossen	closed		Adjectives	Heute ist die Praxis geschlossen.	The practice is closed today.
das Eiscafé	ice cream parlor	die Eiscafés	Places	Das Eiscafé ist bis sechs geöffnet.	The ice cream parlor is open until six.
die Praxis	medical practice	die Praxen	Places	Die Praxis ist von acht bis eins geöffnet.	The practice is open from eight until one.
der Kiosk	kiosk	die Kioske	Places	Der Kiosk ist bis acht Uhr geöffnet.	The kiosk is open until eight.
der Zahn	tooth	die Zähne	Everyday	Mein Zahn tut weh.	My tooth hurts.
der Fragebogen	questionnaire	die Fragebögen	Classroom	Lesen Sie den Fragebogen.	Read the questionnaire.
letzt-	last / previous		Time	Letzte Woche habe ich viel gearbeitet.	Last week I worked a lot.
lange	for a long time		Time	Ich habe lange geschlafen.	I slept for a long time.
der Sport	sport		Hobbies	Ich habe Sport gemacht.	I exercised.
einladen	to invite		Verbs	Wir haben Freunde eingeladen.	We invited friends.
