id,lemma,article,display,gender,meaningEn,masculine,feminine,plural,pluralGap,pic,audioUrl,audioSpoken,audioState,pluralAudio,exampleDe,exampleEn,lesson,cardUrl
"lex:aerztin","Ärztin","die","die Ärztin","feminine","doctor","","die Ärztin","Ärztinnen","","yes","https://hrezaii95.github.io/german-learning-exam/audio/tts-de-de-v1/tts-74ee8a36e7b01cfb.mp3","die Ärztin","preview","","","","lesson:02","https://hrezaii95.github.io/german-learning-exam/vocabulary/id-6c65783a6165727a74696e"
"lex:allein","allein","","allein","","alone","","","","","no (meaning plate)","https://hrezaii95.github.io/german-learning-exam/audio/tts-de-de-v1/tts-a9d5a11ce03dbf99.mp3","allein","preview","","","","lesson:02","https://hrezaii95.github.io/german-learning-exam/vocabulary/id-6c65783a616c6c65696e"
"lex:alter","Alter","das","das Alter","neuter","age","","","","The plural form is not available yet.","no (meaning plate)","https://hrezaii95.github.io/german-learning-exam/audio/tts-de-de-v1/tts-f9c202035068db9b.mp3","das Alter","preview","","","","lesson:02","https://hrezaii95.github.io/german-learning-exam/vocabulary/id-6c65783a616c746572"
"lex:architekt","Architekt","der","der Architekt","masculine","architect","der Architekt","die Architektin","Architekten","","yes","https://hrezaii95.github.io/german-learning-exam/audio/tts-de-de-v1/tts-62dc09ce76149784.mp3","der Architekt","preview","","","","lesson:02","https://hrezaii95.github.io/german-learning-exam/vocabulary/id-6c65783a617263686974656b74"
"lex:architektin","Architektin","die","die Architektin","feminine","architect","","die Architektin","Architektinnen","","yes","https://hrezaii95.github.io/german-learning-exam/audio/tts-de-de-v1/tts-bab366a7e6e4166e.mp3","die Architektin","preview","","","","lesson:02","https://hrezaii95.github.io/german-learning-exam/vocabulary/id-6c65783a617263686974656b74696e"
"lex:arzt","Arzt","der","der Arzt","masculine","doctor","der Arzt","","Ärzte","","yes","https://hrezaii95.github.io/german-learning-exam/audio/tts-de-de-v1/tts-2128ffb48d81a189.mp3","der Arzt","preview","","","","lesson:02","https://hrezaii95.github.io/german-learning-exam/vocabulary/id-6c65783a61727a74"
"lex:auch-super","Auch super.","","Auch super.","","Great as well.","","","","","no (meaning plate)","https://hrezaii95.github.io/german-learning-exam/audio/tts-de-de-v1/tts-d19267787b4beff7.mp3","Auch super.","preview","","","","lesson:01","https://hrezaii95.github.io/german-learning-exam/vocabulary/id-6c65783a617563682d7375706572"
"lex:auf-wiedersehen","Auf Wiedersehen","","Auf Wiedersehen","","Goodbye","","","","","no (meaning plate)","https://hrezaii95.github.io/german-learning-exam/audio/tts-de-de-v1/tts-6a8284819483191d.mp3","Auf Wiedersehen","preview","","","","lesson:01","https://hrezaii95.github.io/german-learning-exam/vocabulary/id-6c65783a6175662d776965646572736568656e"
"lex:ausbildung","Ausbildung","die","die Ausbildung","feminine","apprenticeship/training","","die Ausbildung","Ausbildungen","","no (meaning plate)","https://hrezaii95.github.io/german-learning-exam/audio/tts-de-de-v1/tts-0722502662730c10.mp3","die Ausbildung","preview","","","","lesson:02","https://hrezaii95.github.io/german-learning-exam/vocabulary/id-6c65783a61757362696c64756e67"
"lex:beruf","Beruf","der","der Beruf","masculine","profession","der Beruf","","Berufe","","no (meaning plate)","https://hrezaii95.github.io/german-learning-exam/audio/tts-de-de-v1/tts-33570f12e2363ed6.mp3","der Beruf","preview","","","","lesson:02","https://hrezaii95.github.io/german-learning-exam/vocabulary/id-6c65783a6265727566"
"lex:deutschland","Deutschland","","Deutschland","","Germany","","","","","no (meaning plate)","https://hrezaii95.github.io/german-learning-exam/audio/tts-de-de-v1/tts-af6e56aacd8097c3.mp3","Deutschland","preview","","","","lesson:01","https://hrezaii95.github.io/german-learning-exam/vocabulary/id-6c65783a646575747363686c616e64"
"lex:eritrea","Eritrea","","Eritrea","","Eritrea","","","","","no (meaning plate)","https://hrezaii95.github.io/german-learning-exam/audio/tts-de-de-v1/tts-01bc4009390083a7.mp3","Eritrea","preview","","","","lesson:01","https://hrezaii95.github.io/german-learning-exam/vocabulary/id-6c65783a65726974726561"
"lex:es-geht","Es geht.","","Es geht.","","Not too bad.","","","","","no (meaning plate)","https://hrezaii95.github.io/german-learning-exam/audio/tts-de-de-v1/tts-13a77f00d2f60e9b.mp3","Es geht.","preview","","","","lesson:01","https://hrezaii95.github.io/german-learning-exam/vocabulary/id-6c65783a65732d67656874"
"lex:familienname","Familienname","der","der Familienname","masculine","last name","der Familienname","","Familiennamen","","no (meaning plate)","https://hrezaii95.github.io/german-learning-exam/audio/tts-de-de-v1/tts-16e34b0c5aec84c4.mp3","der Familienname","preview","","","","lesson:01","https://hrezaii95.github.io/german-learning-exam/vocabulary/id-6c65783a66616d696c69656e6e616d65"
